"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
48,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie",612030,"612030","Arrondissment","Arrondissement","",""
49,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh",622010,"622010","Arrondissment","Arrondissement","",""
50,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",622020,"622020","Arrondissment","Arrondissement","",""
51,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",50,"Wack Ngouna",622030,"622030","Arrondissment","Arrondissement","",""
52,201,"SEN","Senegal",7,"Kolda",21,"Kolda",51,"Dioulacolon",1012010,"1012010","Arrondissment","Arrondissement","",""
53,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim",1012020,"1012020","Arrondissment","Arrondissement","",""
54,201,"SEN","Senegal",7,"Kolda",21,"Kolda",53,"Sare Bidji",1012030,"1012030","Arrondissment","Arrondissement","",""
55,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",54,"Fafacourou",1032010,"1032010","Arrondissment","Arrondissement","",""
56,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",55,"Ndorna",1032020,"1032020","Arrondissment","Arrondissement","",""
57,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",56,"Niaming",1032030,"1032030","Arrondissment","Arrondissement","",""
58,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",57,"Bonconto",1022010,"1022010","Arrondissment","Arrondissement","",""
59,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",58,"Pakour",1022020,"1022020","Arrondissment","Arrondissement","",""
60,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",59,"Sare Coly Sale",1022030,"1022030","Arrondissment","Arrondissement","",""
61,201,"SEN","Senegal",8,"Louga",24,"Kébémer",60,"Darou Mousty",812010,"812010","Arrondissment","Arrondissement","",""
62,201,"SEN","Senegal",8,"Louga",24,"Kébémer",61,"Sagatta Gueth",NA,"","Arrondissment","Arrondissement","",""
63,201,"SEN","Senegal",8,"Louga",24,"Kébémer",61,"Sagatta Gueth",812020,"812020","Arrondissment","Arrondissement","",""
64,201,"SEN","Senegal",8,"Louga",24,"Kébémer",61,"Sagatta Gueth",812030,"812030","Arrondissment","Arrondissement","",""
65,201,"SEN","Senegal",8,"Louga",25,"Linguère",62,"Barkedji",822010,"822010","Arrondissment","Arrondissement","",""
66,201,"SEN","Senegal",8,"Louga",25,"Linguère",63,"Dodji",822020,"822020","Arrondissment","Arrondissement","",""
67,201,"SEN","Senegal",8,"Louga",25,"Linguère",64,"Sagatta Djolof",822040,"822040","Arrondissment","Arrondissement","",""
68,201,"SEN","Senegal",8,"Louga",25,"Linguère",65,"Yang Yang",822030,"822030","Arrondissment","Arrondissement","",""
69,201,"SEN","Senegal",8,"Louga",26,"Louga",66,"Coki",832010,"832010","Arrondissment","Arrondissement","",""
70,201,"SEN","Senegal",8,"Louga",26,"Louga",67,"Mbediene",832030,"832030","Arrondissment","Arrondissement","",""
71,201,"SEN","Senegal",8,"Louga",26,"Louga",68,"Meur Momar Sarr",832020,"832020","Arrondissment","Arrondissement","",""
72,201,"SEN","Senegal",8,"Louga",26,"Louga",69,"Sakal",832040,"832040","Arrondissment","Arrondissement","",""
73,201,"SEN","Senegal",9,"Matam",27,"Kanel",70,"Orkadiere",1122010,"1122010","Arrondissment","Arrondissement","",""
74,201,"SEN","Senegal",9,"Matam",27,"Kanel",71,"Ouro Sidy",1122020,"1122020","Arrondissment","Arrondissement","",""
75,201,"SEN","Senegal",9,"Matam",28,"Matam",72,"Agnam Civol",1112010,"1112010","Arrondissment","Arrondissement","",""
76,201,"SEN","Senegal",9,"Matam",28,"Matam",73,"Ogo",1112020,"1112020","Arrondissment","Arrondissement","",""
