"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
43,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",9,"Bambilor",43,"Tivaouane Peulh-Niagha","",132010,"1320103","Commune","Commune"
44,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",9,"Bambilor",44,"Yene","",132010,"1320101","Commune","Commune"
45,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque",45,"Rufisque  Est","",133011,"1330112","Commune","Commune"
46,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque",46,"Rufisque Centre (Nord)","",133011,"1330111","Commune","Commune"
47,201,"SEN","Senegal",1,"Dakar",4,"Rufisque",10,"Rufisque",47,"Rufisque Ouest","",133011,"1330113","Commune","Commune"
48,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage",48,"Baba Garage","",312010,"3120101","Commune","Commune"
49,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage",49,"Dinguiraye","",312010,"3120102","Commune","Commune"
50,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",11,"Baba Garage",50,"Keur Samba Kane","",312010,"3120103","Commune","Commune"
51,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",51,"Gawane","",312020,"3120201","Commune","Commune"
52,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",52,"Lambaye","",312020,"3120202","Commune","Commune"
53,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",53,"Ngogom","",312020,"3120203","Commune","Commune"
54,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",12,"Lambaye",54,"Refane","",312020,"3120204","Commune","Commune"
55,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",55,"Ndangalma","",312030,"3120301","Commune","Commune"
56,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",56,"Ndondol","",312030,"3120302","Commune","Commune"
57,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",57,"Ngoye","",312030,"3120303","Commune","Commune"
58,201,"SEN","Senegal",2,"Diourbel",5,"Bambey",13,"Ngoye",58,"Thiakhar","",312030,"3120304","Commune","Commune"
59,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",59,"Dankh Sene","",322010,"3220101","Commune","Commune"
60,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",60,"Gade Escale","",322010,"3220102","Commune","Commune"
61,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",61,"Keur Ngalgou","",322010,"3220104","Commune","Commune"
62,201,"SEN","Senegal",2,"Diourbel",6,"Diourbel",14,"Ndindy",62,"Ndindy","",322010,"3220103","Commune","Commune"
