index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;11.9817314148;20.2943611145;10.6116828918;16.2411174774;17.475440979;21.435136795;16.0048980713;13.8342342377;18.834230423;4.75979185104;1.62670040131;14.4264545441;21.6853218079
2;438.0;3.0;1951.0;15.0;8.46411991119;13.8660640717;8.73079776764;18.8710212708;18.9822940826;20.1039505005;18.7784175873;11.1424741745;17.8719463348;4.36395454407;2.27435159683;13.5525569916;17.7133178711
3;469.0;4.0;1951.0;15.0;13.1434431076;26.8434257507;16.8861656189;20.5446815491;18.5833930969;22.6980514526;18.554813385;17.2737770081;31.0330638885;13.469417572;12.6712360382;16.8392410278;28.6638679504
4;499.0;5.0;1951.0;15.0;32.8464927673;36.3917045593;33.0223274231;52.1950492859;40.7534332275;45.2227172852;49.3598823547;35.9982299805;46.8450393677;32.270690918;20.6372241974;47.2159385681;51.918094635
5;530.0;6.0;1951.0;15.0;42.3473396301;42.0951576233;48.3157539368;59.5326919556;45.6310806274;44.9475708008;59.2135467529;49.735370636;48.3071517944;37.5174751282;63.7418518066;60.9935455322;50.6447525024
6;560.0;7.0;1951.0;15.0;48.4606933594;43.872215271;41.2724685669;38.2859764099;25.0220966339;36.9463691711;33.7959365845;48.7776489258;40.609046936;34.0050888062;36.6231307983;28.9538707733;49.3553085327
7;591.0;8.0;1951.0;15.0;79.0879974365;41.4675521851;79.1963729858;27.865447998;19.7169780731;28.2522449493;25.3266429901;74.2440414429;34.2416954041;77.918182373;135.289169312;20.1920013428;35.9541893005
8;622.0;9.0;1951.0;15.0;65.4390106201;56.7362785339;77.0539169312;40.2624740601;27.773651123;39.904876709;35.0054550171;64.0751647949;58.2117843628;119.603355408;92.4618453979;20.8297290802;54.3850860596
9;652.0;10.0;1951.0;15.0;19.919303894;25.3777198792;20.4972076416;30.9372386932;27.1326313019;30.686296463;32.870349884;21.3976097107;27.8838672638;17.3499107361;14.3012075424;21.3789215088;30.501455307
