index;time;month;year;day;BEN
122;45091.0;6.0;2073.0;15.0;90.5504379272
123;45456.0;6.0;2074.0;15.0;107.617103577
124;45821.0;6.0;2075.0;15.0;125.679069519
125;46187.0;6.0;2076.0;15.0;123.887077332
126;46552.0;6.0;2077.0;15.0;121.902687073
127;46917.0;6.0;2078.0;15.0;111.949676514
128;47282.0;6.0;2079.0;15.0;100.265602112
129;47648.0;6.0;2080.0;15.0;118.354728699
130;48013.0;6.0;2081.0;15.0;119.139221191
131;48378.0;6.0;2082.0;15.0;120.93321228
132;48743.0;6.0;2083.0;15.0;120.140113831
133;49109.0;6.0;2084.0;15.0;120.408401489
134;49474.0;6.0;2085.0;15.0;114.543701172
135;49839.0;6.0;2086.0;15.0;114.006912231
136;50204.0;6.0;2087.0;15.0;121.538093567
137;50570.0;6.0;2088.0;15.0;147.117752075
138;50935.0;6.0;2089.0;15.0;91.6363830566
139;51300.0;6.0;2090.0;15.0;107.486320496
140;51665.0;6.0;2091.0;15.0;113.625221252
141;52031.0;6.0;2092.0;15.0;109.19090271
142;52396.0;6.0;2093.0;15.0;118.795433044
143;52761.0;6.0;2094.0;15.0;116.445892334
144;53126.0;6.0;2095.0;15.0;123.239944458
145;53492.0;6.0;2096.0;15.0;105.353599548
146;53857.0;6.0;2097.0;15.0;99.5394515991
147;54222.0;6.0;2098.0;15.0;117.313346863
148;54587.0;6.0;2099.0;15.0;97.7323303223
