index;time;month;year;day;BEN
121;44726.0;6.0;2072.0;15.0;134.830535889
122;45091.0;6.0;2073.0;15.0;89.5124282837
123;45456.0;6.0;2074.0;15.0;83.4580383301
124;45821.0;6.0;2075.0;15.0;108.447685242
125;46187.0;6.0;2076.0;15.0;128.008636475
126;46552.0;6.0;2077.0;15.0;106.573745728
127;46917.0;6.0;2078.0;15.0;134.323120117
128;47282.0;6.0;2079.0;15.0;111.508117676
129;47648.0;6.0;2080.0;15.0;120.390060425
130;48013.0;6.0;2081.0;15.0;104.860916138
131;48378.0;6.0;2082.0;15.0;89.130317688
132;48743.0;6.0;2083.0;15.0;88.404838562
133;49109.0;6.0;2084.0;15.0;105.51096344
134;49474.0;6.0;2085.0;15.0;108.062263489
135;49839.0;6.0;2086.0;15.0;85.9567565918
136;50204.0;6.0;2087.0;15.0;172.510391235
137;50570.0;6.0;2088.0;15.0;197.704071045
138;50935.0;6.0;2089.0;15.0;77.3362731934
139;51300.0;6.0;2090.0;15.0;112.816871643
140;51665.0;6.0;2091.0;15.0;117.236999512
141;52031.0;6.0;2092.0;15.0;104.909255981
142;52396.0;6.0;2093.0;15.0;108.745399475
143;52761.0;6.0;2094.0;15.0;152.264328003
144;53126.0;6.0;2095.0;15.0;108.693862915
145;53492.0;6.0;2096.0;15.0;109.888275146
146;53857.0;6.0;2097.0;15.0;68.4487762451
147;54222.0;6.0;2098.0;15.0;160.039962769
148;54587.0;6.0;2099.0;15.0;117.917991638
149;54952.0;6.0;2100.0;15.0;126.323219299
