index;time;month;year;day;Borgou;Collines;BEN;Ouémé;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Zou
0;379.0;1.0;1951.0;15.0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
1;410.0;2.0;1951.0;15.0;0.0;2.41800284386;0.615536808968;1.05636453629;0.830054342747;0.00676890462637;0.379127085209;0.002471155487;4.49187707901;0.0;0.0;0.892995774746;3.67004752159
2;438.0;3.0;1951.0;15.0;4.28652524948;5.09829330444;3.82665657997;11.9514665604;8.58089828491;9.07197380066;10.3924760818;6.72259140015;12.7321014404;1.68216445218e-07;0.0;9.43267631531;10.4133768082
3;469.0;4.0;1951.0;15.0;10.1660194397;16.3764820099;10.0285158157;33.4847068787;14.4292926788;12.760137558;27.2163562775;14.4210720062;32.162853241;2.92477321625;1.52115905285;22.8099021912;20.8751010895
4;499.0;5.0;1951.0;15.0;26.7330436707;38.5377883911;35.2749862671;53.7002296448;32.6746063232;36.2309684753;51.5028305054;18.5697078705;68.027885437;24.6928920746;45.8238525391;46.3824234009;61.1905403137
5;530.0;6.0;1951.0;15.0;80.350189209;56.1290092468;64.7814025879;63.7613525391;37.8034477234;39.4764671326;58.8917312622;80.4549560547;72.5646133423;68.3058929443;48.4056015015;56.6795806885;66.6110916138
6;560.0;7.0;1951.0;15.0;31.6851081848;48.265499115;51.103717804;71.3888320923;68.7602157593;83.121383667;74.3441390991;32.4082527161;63.2121200562;60.0644035339;55.7860870361;38.1343078613;88.2508087158
7;591.0;8.0;1951.0;15.0;79.809135437;78.9977722168;73.6186294556;31.7319145203;15.420841217;33.2843780518;25.2699489594;82.1146316528;60.4496269226;96.7689056396;62.4011268616;12.8565587997;61.6019058228
8;622.0;9.0;1951.0;15.0;140.617370605;97.5849685669;111.666923523;46.0765914917;38.7648658752;57.594783783;41.0988998413;246.951828003;50.6807899475;136.035171509;51.8584213257;31.2741203308;67.5135116577
9;652.0;10.0;1951.0;15.0;25.6885910034;53.0612869263;33.0880050659;40.8134460449;25.5128879547;27.4938907623;34.6883201599;38.8331451416;38.0772438049;42.7812423706;20.3035449982;30.5192070007;28.1761131287
10;683.0;11.0;1951.0;15.0;0.4492649436;1.08755755424;0.850904226303;6.46429777145;4.64738702774;4.2717924118;6.03127717972;0.275379508734;3.5840113163;0.00632609380409;0.0;4.11961221695;1.92987835407
11;713.0;12.0;1951.0;15.0;9.19710174685e-08;0.190993785858;0.209941402078;2.18290543556;0.691695868969;0.524358510971;1.58919370174;4.91016081128e-08;2.27156615257;0.0;0.0;0.964923143387;0.781071126461
12;744.0;1.0;1952.0;15.0;0.0;0.0;0.00642020860687;0.384735524654;0.0;0.0;0.0581411421299;0.0;0.000278053717921;0.0;0.0;0.197236612439;0.0
13;775.0;2.0;1952.0;15.0;0.0;0.0;0.00642020860687;0.384735524654;0.0;0.0;0.0581411421299;0.0;0.000278053717921;0.0;0.0;0.197236612439;0.0
14;804.0;3.0;1952.0;15.0;41.9359893799;62.7852745056;31.2964859009;57.0041885376;59.7836532593;78.4534378052;54.6352577209;28.7757453918;71.839805603;3.19371557236;3.57880568504;33.0303344727;75.1938247681
15;835.0;4.0;1952.0;15.0;42.0584602356;27.131942749;54.9527778625;29.2625408173;25.416135788;24.2680797577;23.967716217;43.2433204651;24.5528202057;75.9532470703;91.1140213013;31.2719593048;20.2399253845
16;865.0;5.0;1952.0;15.0;110.879081726;98.8999099731;72.6863174438;44.9319877625;60.8471374512;89.9440460205;49.5185775757;121.021224976;55.0368614197;34.8681716919;30.8483943939;41.9126548767;98.2810134888
17;896.0;6.0;1952.0;15.0;66.1704025269;47.6644630432;55.9122390747;47.8262863159;31.6165180206;30.8505935669;44.869430542;83.6539993286;35.4635124207;44.477645874;59.6677818298;52.3490867615;35.2568321228
18;926.0;7.0;1952.0;15.0;40.9845809937;44.4785118103;39.0430603027;35.9414672852;21.2865600586;30.2916736603;28.937379837;51.9457626343;33.8531723022;36.9218711853;34.1804466248;25.8661670685;40.2728271484
19;957.0;8.0;1952.0;15.0;80.0618743896;57.0698051453;54.0434265137;27.0896682739;22.9166488647;35.1012039185;26.760187149;71.7788543701;39.3411560059;35.2272033691;46.4080734253;13.2443723679;46.6726112366
20;988.0;9.0;1952.0;15.0;68.3764266968;78.1289749146;61.8192939758;63.4232673645;41.4132804871;52.4246902466;55.6471061707;72.029624939;90.1176834106;69.4916610718;32.7917251587;43.4466362;78.0414047241
21;1018.0;10.0;1952.0;15.0;34.4203186035;27.6896820068;26.8069553375;46.8553848267;46.0712738037;34.7248497009;55.0945281982;44.6484527588;29.9295539856;18.5450305939;10.5940647125;71.8812255859;27.6211833954
22;1049.0;11.0;1952.0;15.0;0.475118368864;2.18399906158;2.05317211151;14.0806903839;12.1805849075;10.6850128174;15.0764245987;0.217060104012;9.0731716156;0.292591273785;0.0145778525621;16.4759292603;7.66925001144
23;1079.0;12.0;1952.0;15.0;0.00100353173912;2.10051035881;1.50403356552;9.16520690918;5.46995687485;6.71009254456;5.51784658432;0.000867162540089;14.7590055466;0.0;0.0;3.23400568962;8.13213634491
24;1110.0;1.0;1953.0;15.0;0.0;3.04588508606;0.538322985172;1.54296016693;0.973610699177;0.90201818943;1.28737556934;0.00681074801832;2.20765209198;0.0;0.0;3.05797767639;0.427334308624
25;1141.0;2.0;1953.0;15.0;0.15634739399;5.98817157745;2.46357131004;17.545135498;7.85103940964;8.3062210083;13.0562171936;0.341045588255;12.688117981;9.71585086518e-06;0.0;19.678276062;9.9200963974
26;1169.0;3.0;1953.0;15.0;9.42641067505;23.4543094635;9.08064937592;14.3877944946;13.2800216675;14.7946300507;11.1340942383;13.7992506027;19.9620685577;2.55710101128;0.833451092243;11.7376842499;12.9062662125
27;1200.0;4.0;1953.0;15.0;21.1517086029;47.2466011047;25.5683708191;25.8860664368;26.2870025635;40.8860359192;27.3052387238;49.5388450623;39.7276725769;16.0661277771;7.06847143173;13.5586910248;50.2451705933
28;1230.0;5.0;1953.0;15.0;50.2163352966;241.445892334;99.4591674805;119.748725891;118.274543762;227.090606689;129.066345215;113.061592102;173.903396606;15.0412521362;71.5053100586;61.3539810181;272.391174316
29;1261.0;6.0;1953.0;15.0;111.413757324;117.25995636;90.8410415649;49.7765579224;43.782787323;59.7019424438;50.1426544189;137.5105896;61.7755661011;88.0743331909;57.5684623718;48.5658912659;79.2806243896
30;1291.0;7.0;1953.0;15.0;113.004524231;109.280677795;110.425254822;56.7700653076;54.7475090027;100.406936646;56.7914619446;136.50062561;102.18132782;116.999267578;99.5939178467;27.3727607727;149.960296631
